virt_pos_x,virt_pos_y,virt_pos_z,phys_pos_x,phys_pos_y,phys_pos_z,virt_heading_x,virt_heading_y,virt_heading_z,phys_heading_x,phys_heading_y,phys_heading_z,cyclopean_gaze_pos_x,cyclopean_gaze_pos_y,cyclopean_gaze_pos_z,cyclopean_gaze_dir_x,cyclopean_gaze_dir_y,cyclopean_gaze_dir_z,left_gaze_dir_x,left_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_x,right_gaze_dir_y,right_gaze_dir_z,cyclopean_gaze_angular_velocity,weighted_gaze_angular_velocity,left_eye_closed,right_eye_closed,gaze_state,timestamp,frame_number,unity_delta_time
-0.0084719140,1.1112360000,0.1031405000,-0.0084719140,1.1112360000,0.1031405000,0.0044733700,-0.2592515000,0.9657995000,0.0044733700,-0.2592515000,0.9657995000,-1.4695040000,2.2314820000,4.7500380000,-0.2923020000,0.2241236000,0.9296926000,-0.2676750000,0.2247544000,0.9369288000,-0.3167363000,0.2233451000,0.9218433000,7.0710350000,52.39144,0.0000000000,0.0000000000,MOVING,2025_35_23|03:35:39.29,201,0.0146752
-0.0084719140,1.1112360000,0.1031405000,-0.0084719140,1.1112360000,0.1031405000,0.0044733700,-0.2592515000,0.9657995000,0.0044733700,-0.2592515000,0.9657995000,-1.4687100000,2.2313650000,4.7503470000,-0.2921440000,0.2240998000,0.9297479000,-0.2675138000,0.2247324000,0.9369801000,-0.3165816000,0.2233194000,0.9219027000,0.0000000000,52.25286,0.0000000000,0.0000000000,MOVING,2025_35_23|03:35:39.31,202,0.0147993
-0.0085055050,1.1111980000,0.1031233000,-0.0085055050,1.1111980000,0.1031233000,0.0043369240,-0.2598642000,0.9656354000,0.0043369240,-0.2598642000,0.9656354000,-1.4687100000,2.2313650000,4.7503470000,-0.2921440000,0.2240998000,0.9297479000,-0.2675138000,0.2247324000,0.9369801000,-0.3165816000,0.2233194000,0.9219027000,0.0000000000,52.25286,0.0000000000,0.0000000000,MOVING,2025_35_23|03:35:39.32,203,0.0125975
-0.0085172880,1.1111880000,0.1031175000,-0.0085172880,1.1111880000,0.1031175000,0.0041951410,-0.2599419000,0.9656152000,0.0041951410,-0.2599419000,0.9656152000,-1.4667760000,2.2306480000,4.7511120000,-0.2917504000,0.2239639000,0.9299042000,-0.2671176000,0.2245834000,0.9371288000,-0.3161907000,0.2231967000,0.9220665000,2.2207940000,33.30396,0.0000000000,0.0000000000,MOVING,2025_35_23|03:35:39.34,204,0.0148413
-0.0085035570,1.1111940000,0.1031134000,-0.0085035570,1.1111940000,0.1031134000,0.0043246620,-0.2597325000,0.9656709000,0.0043246620,-0.2597325000,0.9656709000,-1.4531970000,2.2312510000,4.7551980000,-0.2890314000,0.2240867000,0.9307234000,-0.2643568000,0.2246753000,0.9378894000,-0.3135151000,0.2233501000,0.9229426000,10.9104700000,16.08136,0.0000000000,0.0000000000,MOVING,2025_35_23|03:35:39.35,205,0.0140329
-0.0085035570,1.1111940000,0.1031134000,-0.0085035570,1.1111940000,0.1031134000,0.0043246620,-0.2597325000,0.9656709000,0.0043246620,-0.2597325000,0.9656709000,-1.4535330000,2.2310890000,4.7551250000,-0.2891014000,0.2240531000,0.9307097000,-0.2644275000,0.2246377000,0.9378785000,-0.3135843000,0.2233206000,0.9229262000,0.0000000000,15.87934,0.0000000000,0.0000000000,MOVING,2025_35_23|03:35:39.36,206,0.0132425
-0.0084953350,1.1112730000,0.1031429000,-0.0084953350,1.1112730000,0.1031429000,0.0042301300,-0.2590935000,0.9658430000,0.0042301300,-0.2590935000,0.9658430000,-1.4535330000,2.2310890000,4.7551250000,-0.2891014000,0.2240531000,0.9307097000,-0.2644275000,0.2246377000,0.9378785000,-0.3135843000,0.2233206000,0.9229262000,0.0000000000,15.87934,0.0000000000,0.0000000000,MOVING,2025_35_23|03:35:39.38,207,0.0147612
-0.0085110480,1.1113000000,0.1031601000,-0.0085110480,1.1113000000,0.1031601000,0.0044400000,-0.2590106000,0.9658643000,0.0044400000,-0.2590106000,0.9658643000,-1.4471540000,2.2412070000,4.7547000000,-0.2878268000,0.2260615000,0.9306191000,-0.2631309000,0.2266715000,0.9377538000,-0.3123324000,0.2253020000,0.9228692000,9.2848890000,2.948719,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.39,208,0.0136158
-0.0085110480,1.1113000000,0.1031601000,-0.0085110480,1.1113000000,0.1031601000,0.0044400000,-0.2590106000,0.9658643000,0.0044400000,-0.2590106000,0.9658643000,-1.4483980000,2.2424250000,4.7540470000,-0.2880726000,0.2262998000,0.9304851000,-0.2633781000,0.2269233000,0.9376235000,-0.3125766000,0.2255266000,0.9227316000,1.4528960000,3.094008,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.40,209,0.0155868
-0.0085595360,1.1112710000,0.1031458000,-0.0085595360,1.1112710000,0.1031458000,0.0046782220,-0.2593863000,0.9657623000,0.0046782220,-0.2593863000,0.9657623000,-1.4483980000,2.2424250000,4.7540470000,-0.2880726000,0.2262998000,0.9304851000,-0.2633781000,0.2269233000,0.9376235000,-0.3125766000,0.2255266000,0.9227316000,0.0000000000,3.094008,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.42,210,0.0109948
-0.0086246800,1.1112480000,0.1031516000,-0.0086246800,1.1112480000,0.1031516000,0.0049241130,-0.2592782000,0.9657902000,0.0049241130,-0.2592782000,0.9657902000,-1.4477670000,2.2421100000,4.7543130000,-0.2879367000,0.2262425000,0.9305410000,-0.2632419000,0.2268693000,0.9376748000,-0.3124413000,0.2254661000,0.9227922000,0.0000000000,2.386904,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.43,211,0.0148067
-0.0086246800,1.1112480000,0.1031516000,-0.0086246800,1.1112480000,0.1031516000,0.0049241130,-0.2592782000,0.9657902000,0.0049241130,-0.2592782000,0.9657902000,-1.4448170000,2.2583040000,4.7512780000,-0.2873336000,0.2294871000,0.9299329000,-0.2626307000,0.2301390000,0.9370492000,-0.3118464000,0.2286834000,0.9222016000,13.0221100000,3.689116,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.45,212,0.0138115
-0.0086436560,1.1113030000,0.1031693000,-0.0086436560,1.1113030000,0.1031693000,0.0046222450,-0.2585929000,0.9659753000,0.0046222450,-0.2585929000,0.9659753000,-1.4448170000,2.2583040000,4.7512780000,-0.2873336000,0.2294871000,0.9299329000,-0.2626307000,0.2301390000,0.9370492000,-0.3118464000,0.2286834000,0.9222016000,0.0000000000,3.689116,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.46,213,0.013423
-0.0086511460,1.1113100000,0.1031930000,-0.0086511460,1.1113100000,0.1031930000,0.0043475080,-0.2583117000,0.9660518000,0.0043475080,-0.2583117000,0.9660518000,-1.4127370000,2.2672210000,4.7588940000,-0.2809119000,0.2312605000,0.9314543000,-0.2561112000,0.2318759000,0.9384245000,-0.3055260000,0.2304915000,0.9238655000,29.1418600000,6.381223,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.47,214,0.0139234
-0.0086511460,1.1113100000,0.1031930000,-0.0086511460,1.1113100000,0.1031930000,0.0043475080,-0.2583117000,0.9660518000,0.0043475080,-0.2583117000,0.9660518000,-1.4147740000,2.2682960000,4.7580400000,-0.2813179000,0.2314740000,0.9312787000,-0.2565196000,0.2321070000,0.9382558000,-0.3059295000,0.2306874000,0.9236831000,2.0093120000,5.491107,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.49,215,0.014927
-0.0087078060,1.1113390000,0.1032805000,-0.0087078060,1.1113390000,0.1032805000,0.0041275410,-0.2584858000,0.9660062000,0.0041275410,-0.2584858000,0.9660062000,-1.4147740000,2.2682960000,4.7580400000,-0.2813179000,0.2314740000,0.9312787000,-0.2565196000,0.2321070000,0.9382558000,-0.3059295000,0.2306874000,0.9236831000,0.0000000000,5.491107,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.50,216,0.0133167
-0.0086939560,1.1113100000,0.1032545000,-0.0086939560,1.1113100000,0.1032545000,0.0039259890,-0.2585695000,0.9659847000,0.0039259890,-0.2585695000,0.9659847000,-1.4134760000,2.2601320000,4.7605640000,-0.2810471000,0.2298349000,0.9317663000,-0.2562403000,0.2304571000,0.9387388000,-0.3056671000,0.2290601000,0.9241748000,7.4276450000,6.233872,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.52,217,0.0140878
-0.0086833920,1.1113030000,0.1032289000,-0.0086833920,1.1113030000,0.1032289000,0.0040649960,-0.2585672000,0.9659848000,0.0040649960,-0.2585672000,0.9659848000,-1.4134480000,2.2596410000,4.7606570000,-0.2810441000,0.2297424000,0.9317900000,-0.2562377000,0.2303530000,0.9387650000,-0.3056638000,0.2289791000,0.9241960000,0.0000000000,5.305383,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.53,218,0.0136859
-0.0086833920,1.1113030000,0.1032289000,-0.0086833920,1.1113030000,0.1032289000,0.0040649960,-0.2585672000,0.9659848000,0.0040649960,-0.2585672000,0.9659848000,-1.4129000000,2.2647010000,4.7595410000,-0.2809367000,0.2307562000,0.9315718000,-0.2561282000,0.2313709000,0.9385446000,-0.3055585000,0.2299882000,0.9239802000,4.3363630000,5.593729,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.54,219,0.0157141
-0.0086279880,1.1113180000,0.1031764000,-0.0086279880,1.1113180000,0.1031764000,0.0042804420,-0.2584018000,0.9660280000,0.0042804420,-0.2584018000,0.9660280000,-1.4129000000,2.2647010000,4.7595410000,-0.2809367000,0.2307562000,0.9315718000,-0.2561282000,0.2313709000,0.9385446000,-0.3055585000,0.2299882000,0.9239802000,0.0000000000,5.593729,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.56,220,0.0121974
-0.0086215140,1.1113100000,0.1031648000,-0.0086215140,1.1113100000,0.1031648000,0.0043449980,-0.2583517000,0.9660411000,0.0043449980,-0.2583517000,0.9660411000,-1.4123370000,2.2647470000,4.7596340000,-0.2808351000,0.2307623000,0.9316010000,-0.2560256000,0.2313825000,0.9385697000,-0.3054579000,0.2299888000,0.9240133000,0.0000000000,5.593729,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.57,221,0.0137674
-0.0086215140,1.1113100000,0.1031648000,-0.0086215140,1.1113100000,0.1031648000,0.0043449980,-0.2583517000,0.9660411000,0.0043449980,-0.2583517000,0.9660411000,-1.4070940000,2.2670340000,4.7606280000,-0.2797875000,0.2312216000,0.9318023000,-0.2549627000,0.2318402000,0.9387460000,-0.3044263000,0.2304493000,0.9242390000,4.5438690000,4.745905,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.59,222,0.0155544
-0.0086210600,1.1112510000,0.1031222000,-0.0086210600,1.1112510000,0.1031222000,0.0048078370,-0.2588464000,0.9659066000,0.0048078370,-0.2588464000,0.9659066000,-1.4070940000,2.2670340000,4.7606280000,-0.2797875000,0.2312216000,0.9318023000,-0.2549627000,0.2318402000,0.9387460000,-0.3044263000,0.2304493000,0.9242390000,0.0000000000,4.745905,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.60,223,0.0122397
-0.0086103530,1.1112430000,0.1030908000,-0.0086103530,1.1112430000,0.1030908000,0.0048739180,-0.2584381000,0.9660155000,0.0048739180,-0.2584381000,0.9660155000,-1.3993310000,2.2681540000,4.7626150000,-0.2782345000,0.2314575000,0.9322087000,-0.2533911000,0.2320573000,0.9391178000,-0.3028928000,0.2307037000,0.9246793000,7.4065610000,2.572375,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.61,224,0.0140632
-0.0086103530,1.1112430000,0.1030908000,-0.0086103530,1.1112430000,0.1030908000,0.0048739180,-0.2584381000,0.9660155000,0.0048739180,-0.2584381000,0.9660155000,-1.3980880000,2.2670110000,4.7632330000,-0.2779880000,0.2312305000,0.9323385000,-0.2531429000,0.2318247000,0.9392422000,-0.3026482000,0.2304825000,0.9248145000,0.0000000000,2.371444,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.63,225,0.0145433
-0.0085658290,1.1113030000,0.1030383000,-0.0085658290,1.1113030000,0.1030383000,0.0046373810,-0.2576596000,0.9662247000,0.0046373810,-0.2576596000,0.9662247000,-1.3980880000,2.2670110000,4.7632330000,-0.2779880000,0.2312305000,0.9323385000,-0.2531429000,0.2318247000,0.9392422000,-0.3026482000,0.2304825000,0.9248145000,0.0000000000,2.371444,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.64,226,0.0172985
-0.0085795890,1.1113040000,0.1030042000,-0.0085795890,1.1113040000,0.1030042000,0.0046705600,-0.2575853000,0.9662443000,0.0046705600,-0.2575853000,0.9662443000,-1.3949970000,2.2699960000,4.7633600000,-0.2773786000,0.2318157000,0.9323747000,-0.2525203000,0.2324312000,0.9392599000,-0.3020522000,0.2310460000,0.9248688000,2.5571390000,1.884393,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.66,227,0.0102893
-0.0086139330,1.1113020000,0.1029795000,-0.0086139330,1.1113020000,0.1029795000,0.0046102250,-0.2576384000,0.9662304000,0.0046102250,-0.2576384000,0.9662304000,-1.3976080000,2.2708500000,4.7623400000,-0.2778982000,0.2319865000,0.9321775000,-0.2530430000,0.2326199000,0.9390725000,-0.3025684000,0.2311988000,0.9246618000,3.3300630000,2.217399,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.67,228,0.0150614
-0.0086139330,1.1113020000,0.1029795000,-0.0086139330,1.1113020000,0.1029795000,0.0046102250,-0.2576384000,0.9662304000,0.0046102250,-0.2576384000,0.9662304000,-1.4025730000,2.2694620000,4.7611890000,-0.2788845000,0.2317089000,0.9319519000,-0.2540451000,0.2323449000,0.9388700000,-0.3035384000,0.2309188000,0.9244139000,3.9403390000,2.177797,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.68,229,0.0141671
